Tumor,Start_Year,End_Year,ICD10,Sex,Autonomous_Community,Age_Group,Burden_Measure,Crude_Rate,Arsenic(As),Cadmium(Cd),Nickel(Ni),Particulate_Matter(PM2.5),Lead(Pb),annual_mean_temp,absolute_max_temp,absolute_min_temp,total_precipitation,rainy_days,tropical_nights,Net_Income
12,2023,2023,12,3,6,11,1,18.81,0.24,0.12,1.84,8.39,0.0,15.9,41.4,-3.1,1170.4,160.0,7.0,33373.0
12,2023,2023,12,3,6,12,1,54.61,0.24,0.12,1.84,8.39,0.0,15.9,41.4,-3.1,1170.4,160.0,7.0,33373.0
12,2023,2023,12,3,6,13,1,95.91,0.24,0.12,1.84,8.39,0.0,15.9,41.4,-3.1,1170.4,160.0,7.0,33373.0
12,2023,2023,12,3,6,14,1,193.63,0.24,0.12,1.84,8.39,0.0,15.9,41.4,-3.1,1170.4,160.0,7.0,33373.0
12,2023,2023,12,3,6,15,1,174.61,0.24,0.12,1.84,8.39,0.0,15.9,41.4,-3.1,1170.4,160.0,7.0,33373.0
12,2023,2023,12,3,6,16,1,169.19,0.24,0.12,1.84,8.39,0.0,15.9,41.4,-3.1,1170.4,160.0,7.0,33373.0
12,2023,2023,12,3,6,17,1,203.51,0.24,0.12,1.84,8.39,0.0,15.9,41.4,-3.1,1170.4,160.0,7.0,33373.0
12,2023,2023,12,3,6,18,1,151.36,0.24,0.12,1.84,8.39,0.0,15.9,41.4,-3.1,1170.4,160.0,7.0,33373.0
12,2023,2023,12,3,6,19,1,1.54,0.24,0.12,1.84,8.39,0.0,15.9,41.4,-3.1,1170.4,160.0,7.0,33373.0
12,2023,2023,12,3,6,19,2,2.69,0.24,0.12,1.84,8.39,0.0,15.9,41.4,-3.1,1170.4,160.0,7.0,33373.0
12,2023,2023,12,3,6,20,1,13.15,0.24,0.12,1.84,8.39,0.0,15.9,41.4,-3.1,1170.4,160.0,7.0,33373.0
12,2023,2023,12,3,6,20,2,21.24,0.24,0.12,1.84,8.39,0.0,15.9,41.4,-3.1,1170.4,160.0,7.0,33373.0
12,2023,2023,12,3,6,21,1,74.8,0.24,0.12,1.84,8.39,0.0,15.9,41.4,-3.1,1170.4,160.0,7.0,33373.0
12,2023,2023,12,3,6,21,2,118.34,0.24,0.12,1.84,8.39,0.0,15.9,41.4,-3.1,1170.4,160.0,7.0,33373.0
12,2023,2023,12,3,6,22,1,184.91,0.24,0.12,1.84,8.39,0.0,15.9,41.4,-3.1,1170.4,160.0,7.0,33373.0
